u;t;Cap_cut;Cap_eut;Cap_fut;H_cut;H_eut;H_fut
1;1;1000000;1000000;1000000;8;8;8
1;2;1000000;1000000;1000000;8;8;8
1;3;1000000;1000000;1000000;8;8;8
1;4;1000000;1000000;1000000;8;8;8
1;5;1000000;1000000;1000000;8;8;8
1;6;1000000;1000000;1000000;8;8;8
1;7;1000000;1000000;1000000;8;8;8
1;8;1000000;1000000;1000000;8;8;8
1;9;1000000;1000000;1000000;8;8;8
1;10;1000000;1000000;1000000;8;8;8
1;11;1000000;1000000;1000000;8;8;8
1;12;1000000;1000000;1000000;8;8;8
1;13;1000000;1000000;1000000;8;8;8
1;14;1000000;1000000;1000000;8;8;8
2;1;1000000;1000000;1000000;8;8;8
2;2;1000000;1000000;1000000;8;8;8
2;3;1000000;1000000;1000000;8;8;8
2;4;1000000;1000000;1000000;8;8;8
2;5;1000000;1000000;1000000;8;8;8
2;6;1000000;1000000;1000000;8;8;8
2;7;1000000;1000000;1000000;8;8;8
2;8;1000000;1000000;1000000;8;8;8
2;9;1000000;1000000;1000000;8;8;8
2;10;1000000;1000000;1000000;8;8;8
2;11;1000000;1000000;1000000;8;8;8
2;12;1000000;1000000;1000000;8;8;8
2;13;1000000;1000000;1000000;8;8;8
2;14;1000000;1000000;1000000;8;8;8
3;1;1000000;1000000;1000000;8;8;8
3;2;1000000;1000000;1000000;8;8;8
3;3;1000000;1000000;1000000;8;8;8
3;4;1000000;1000000;1000000;8;8;8
3;5;1000000;1000000;1000000;8;8;8
3;6;1000000;1000000;1000000;8;8;8
3;7;1000000;1000000;1000000;8;8;8
3;8;1000000;1000000;1000000;8;8;8
3;9;1000000;1000000;1000000;8;8;8
3;10;1000000;1000000;1000000;8;8;8
3;11;1000000;1000000;1000000;8;8;8
3;12;1000000;1000000;1000000;8;8;8
3;13;1000000;1000000;1000000;8;8;8
3;14;1000000;1000000;1000000;8;8;8
4;1;1000000;1000000;1000000;8;8;8
4;2;1000000;1000000;1000000;8;8;8
4;3;1000000;1000000;1000000;8;8;8
4;4;1000000;1000000;1000000;8;8;8
4;5;1000000;1000000;1000000;8;8;8
4;6;1000000;1000000;1000000;8;8;8
4;7;1000000;1000000;1000000;8;8;8
4;8;1000000;1000000;1000000;8;8;8
4;9;1000000;1000000;1000000;8;8;8
4;10;1000000;1000000;1000000;8;8;8
4;11;1000000;1000000;1000000;8;8;8
4;12;1000000;1000000;1000000;8;8;8
4;13;1000000;1000000;1000000;8;8;8
4;14;1000000;1000000;1000000;8;8;8
5;1;1000000;1000000;1000000;8;8;8
5;2;1000000;1000000;1000000;8;8;8
5;3;1000000;1000000;1000000;8;8;8
5;4;1000000;1000000;1000000;8;8;8
5;5;1000000;1000000;1000000;8;8;8
5;6;1000000;1000000;1000000;8;8;8
5;7;1000000;1000000;1000000;8;8;8
5;8;1000000;1000000;1000000;8;8;8
5;9;1000000;1000000;1000000;8;8;8
5;10;1000000;1000000;1000000;8;8;8
5;11;1000000;1000000;1000000;8;8;8
5;12;1000000;1000000;1000000;8;8;8
5;13;1000000;1000000;1000000;8;8;8
5;14;1000000;1000000;1000000;8;8;8
6;1;1000000;1000000;1000000;8;8;8
6;2;1000000;1000000;1000000;8;8;8
6;3;1000000;1000000;1000000;8;8;8
6;4;1000000;1000000;1000000;8;8;8
6;5;1000000;1000000;1000000;8;8;8
6;6;1000000;1000000;1000000;8;8;8
6;7;1000000;1000000;1000000;8;8;8
6;8;1000000;1000000;1000000;8;8;8
6;9;1000000;1000000;1000000;8;8;8
6;10;1000000;1000000;1000000;8;8;8
6;11;1000000;1000000;1000000;8;8;8
6;12;1000000;1000000;1000000;8;8;8
6;13;1000000;1000000;1000000;8;8;8
6;14;1000000;1000000;1000000;8;8;8
7;1;1000000;1000000;1000000;8;8;8
7;2;1000000;1000000;1000000;8;8;8
7;3;1000000;1000000;1000000;8;8;8
7;4;1000000;1000000;1000000;8;8;8
7;5;1000000;1000000;1000000;8;8;8
7;6;1000000;1000000;1000000;8;8;8
7;7;1000000;1000000;1000000;8;8;8
7;8;1000000;1000000;1000000;8;8;8
7;9;1000000;1000000;1000000;8;8;8
7;10;1000000;1000000;1000000;8;8;8
7;11;1000000;1000000;1000000;8;8;8
7;12;1000000;1000000;1000000;8;8;8
7;13;1000000;1000000;1000000;8;8;8
7;14;1000000;1000000;1000000;8;8;8
8;1;1000000;1000000;1000000;8;8;8
8;2;1000000;1000000;1000000;8;8;8
8;3;1000000;1000000;1000000;8;8;8
8;4;1000000;1000000;1000000;8;8;8
8;5;1000000;1000000;1000000;8;8;8
8;6;1000000;1000000;1000000;8;8;8
8;7;1000000;1000000;1000000;8;8;8
8;8;1000000;1000000;1000000;8;8;8
8;9;1000000;1000000;1000000;8;8;8
8;10;1000000;1000000;1000000;8;8;8
8;11;1000000;1000000;1000000;8;8;8
8;12;1000000;1000000;1000000;8;8;8
8;13;1000000;1000000;1000000;8;8;8
8;14;1000000;1000000;1000000;8;8;8
