r;t;D_crt;D_ert;D_frt
1;1;15000;15000;15000
1;2;15000;15000;15000
1;3;15000;15000;15000
1;4;15000;15000;15000
1;5;15000;15000;15000
1;6;15000;15000;15000
1;7;15000;15000;15000
1;8;15000;15000;15000
1;9;15000;15000;15000
1;10;15000;15000;15000
1;11;15000;15000;15000
1;12;15000;15000;15000
1;13;15000;15000;15000
1;14;15000;15000;15000
2;1;15000;15000;15000
2;2;15000;15000;15000
2;3;15000;15000;15000
2;4;15000;15000;15000
2;5;15000;15000;15000
2;6;15000;15000;15000
2;7;15000;15000;15000
2;8;15000;15000;15000
2;9;15000;15000;15000
2;10;15000;15000;15000
2;11;15000;15000;15000
2;12;15000;15000;15000
2;13;15000;15000;15000
2;14;15000;15000;15000
3;1;15000;15000;15000
3;2;15000;15000;15000
3;3;15000;15000;15000
3;4;15000;15000;15000
3;5;15000;15000;15000
3;6;15000;15000;15000
3;7;15000;15000;15000
3;8;15000;15000;15000
3;9;15000;15000;15000
3;10;15000;15000;15000
3;11;15000;15000;15000
3;12;15000;15000;15000
3;13;15000;15000;15000
3;14;15000;15000;15000
4;1;15000;15000;15000
4;2;15000;15000;15000
4;3;15000;15000;15000
4;4;15000;15000;15000
4;5;15000;15000;15000
4;6;15000;15000;15000
4;7;15000;15000;15000
4;8;15000;15000;15000
4;9;15000;15000;15000
4;10;15000;15000;15000
4;11;15000;15000;15000
4;12;15000;15000;15000
4;13;15000;15000;15000
4;14;15000;15000;15000
5;1;15000;15000;15000
5;2;15000;15000;15000
5;3;15000;15000;15000
5;4;15000;15000;15000
5;5;15000;15000;15000
5;6;15000;15000;15000
5;7;15000;15000;15000
5;8;15000;15000;15000
5;9;15000;15000;15000
5;10;15000;15000;15000
5;11;15000;15000;15000
5;12;15000;15000;15000
5;13;15000;15000;15000
5;14;15000;15000;15000
6;1;15000;15000;15000
6;2;15000;15000;15000
6;3;15000;15000;15000
6;4;15000;15000;15000
6;5;15000;15000;15000
6;6;15000;15000;15000
6;7;15000;15000;15000
6;8;15000;15000;15000
6;9;15000;15000;15000
6;10;15000;15000;15000
6;11;15000;15000;15000
6;12;15000;15000;15000
6;13;15000;15000;15000
6;14;15000;15000;15000
7;1;15000;15000;15000
7;2;15000;15000;15000
7;3;15000;15000;15000
7;4;15000;15000;15000
7;5;15000;15000;15000
7;6;15000;15000;15000
7;7;15000;15000;15000
7;8;15000;15000;15000
7;9;15000;15000;15000
7;10;15000;15000;15000
7;11;15000;15000;15000
7;12;15000;15000;15000
7;13;15000;15000;15000
7;14;15000;15000;15000
8;1;15000;15000;15000
8;2;15000;15000;15000
8;3;15000;15000;15000
8;4;15000;15000;15000
8;5;15000;15000;15000
8;6;15000;15000;15000
8;7;15000;15000;15000
8;8;15000;15000;15000
8;9;15000;15000;15000
8;10;15000;15000;15000
8;11;15000;15000;15000
8;12;15000;15000;15000
8;13;15000;15000;15000
8;14;15000;15000;15000
9;1;15000;15000;15000
9;2;15000;15000;15000
9;3;15000;15000;15000
9;4;15000;15000;15000
9;5;15000;15000;15000
9;6;15000;15000;15000
9;7;15000;15000;15000
9;8;15000;15000;15000
9;9;15000;15000;15000
9;10;15000;15000;15000
9;11;15000;15000;15000
9;12;15000;15000;15000
9;13;15000;15000;15000
9;14;15000;15000;15000
10;1;15000;15000;15000
10;2;15000;15000;15000
10;3;15000;15000;15000
10;4;15000;15000;15000
10;5;15000;15000;15000
10;6;15000;15000;15000
10;7;15000;15000;15000
10;8;15000;15000;15000
10;9;15000;15000;15000
10;10;15000;15000;15000
10;11;15000;15000;15000
10;12;15000;15000;15000
10;13;15000;15000;15000
10;14;15000;15000;15000
11;1;15000;15000;15000
11;2;15000;15000;15000
11;3;15000;15000;15000
11;4;15000;15000;15000
11;5;15000;15000;15000
11;6;15000;15000;15000
11;7;15000;15000;15000
11;8;15000;15000;15000
11;9;15000;15000;15000
11;10;15000;15000;15000
11;11;15000;15000;15000
11;12;15000;15000;15000
11;13;15000;15000;15000
11;14;15000;15000;15000
12;1;15000;15000;15000
12;2;15000;15000;15000
12;3;15000;15000;15000
12;4;15000;15000;15000
12;5;15000;15000;15000
12;6;15000;15000;15000
12;7;15000;15000;15000
12;8;15000;15000;15000
12;9;15000;15000;15000
12;10;15000;15000;15000
12;11;15000;15000;15000
12;12;15000;15000;15000
12;13;15000;15000;15000
12;14;15000;15000;15000
13;1;15000;15000;15000
13;2;15000;15000;15000
13;3;15000;15000;15000
13;4;15000;15000;15000
13;5;15000;15000;15000
13;6;15000;15000;15000
13;7;15000;15000;15000
13;8;15000;15000;15000
13;9;15000;15000;15000
13;10;15000;15000;15000
13;11;15000;15000;15000
13;12;15000;15000;15000
13;13;15000;15000;15000
13;14;15000;15000;15000
14;1;15000;15000;15000
14;2;15000;15000;15000
14;3;15000;15000;15000
14;4;15000;15000;15000
14;5;15000;15000;15000
14;6;15000;15000;15000
14;7;15000;15000;15000
14;8;15000;15000;15000
14;9;15000;15000;15000
14;10;15000;15000;15000
14;11;15000;15000;15000
14;12;15000;15000;15000
14;13;15000;15000;15000
14;14;15000;15000;15000
15;1;15000;15000;15000
15;2;15000;15000;15000
15;3;15000;15000;15000
15;4;15000;15000;15000
15;5;15000;15000;15000
15;6;15000;15000;15000
15;7;15000;15000;15000
15;8;15000;15000;15000
15;9;15000;15000;15000
15;10;15000;15000;15000
15;11;15000;15000;15000
15;12;15000;15000;15000
15;13;15000;15000;15000
15;14;15000;15000;15000
16;1;15000;15000;15000
16;2;15000;15000;15000
16;3;15000;15000;15000
16;4;15000;15000;15000
16;5;15000;15000;15000
16;6;15000;15000;15000
16;7;15000;15000;15000
16;8;15000;15000;15000
16;9;15000;15000;15000
16;10;15000;15000;15000
16;11;15000;15000;15000
16;12;15000;15000;15000
16;13;15000;15000;15000
16;14;15000;15000;15000
17;1;15000;15000;15000
17;2;15000;15000;15000
17;3;15000;15000;15000
17;4;15000;15000;15000
17;5;15000;15000;15000
17;6;15000;15000;15000
17;7;15000;15000;15000
17;8;15000;15000;15000
17;9;15000;15000;15000
17;10;15000;15000;15000
17;11;15000;15000;15000
17;12;15000;15000;15000
17;13;15000;15000;15000
17;14;15000;15000;15000
18;1;15000;15000;15000
18;2;15000;15000;15000
18;3;15000;15000;15000
18;4;15000;15000;15000
18;5;15000;15000;15000
18;6;15000;15000;15000
18;7;15000;15000;15000
18;8;15000;15000;15000
18;9;15000;15000;15000
18;10;15000;15000;15000
18;11;15000;15000;15000
18;12;15000;15000;15000
18;13;15000;15000;15000
18;14;15000;15000;15000
19;1;15000;15000;15000
19;2;15000;15000;15000
19;3;15000;15000;15000
19;4;15000;15000;15000
19;5;15000;15000;15000
19;6;15000;15000;15000
19;7;15000;15000;15000
19;8;15000;15000;15000
19;9;15000;15000;15000
19;10;15000;15000;15000
19;11;15000;15000;15000
19;12;15000;15000;15000
19;13;15000;15000;15000
19;14;15000;15000;15000
20;1;15000;15000;15000
20;2;15000;15000;15000
20;3;15000;15000;15000
20;4;15000;15000;15000
20;5;15000;15000;15000
20;6;15000;15000;15000
20;7;15000;15000;15000
20;8;15000;15000;15000
20;9;15000;15000;15000
20;10;15000;15000;15000
20;11;15000;15000;15000
20;12;15000;15000;15000
20;13;15000;15000;15000
20;14;15000;15000;15000
21;1;15000;15000;15000
21;2;15000;15000;15000
21;3;15000;15000;15000
21;4;15000;15000;15000
21;5;15000;15000;15000
21;6;15000;15000;15000
21;7;15000;15000;15000
21;8;15000;15000;15000
21;9;15000;15000;15000
21;10;15000;15000;15000
21;11;15000;15000;15000
21;12;15000;15000;15000
21;13;15000;15000;15000
21;14;15000;15000;15000
22;1;15000;15000;15000
22;2;15000;15000;15000
22;3;15000;15000;15000
22;4;15000;15000;15000
22;5;15000;15000;15000
22;6;15000;15000;15000
22;7;15000;15000;15000
22;8;15000;15000;15000
22;9;15000;15000;15000
22;10;15000;15000;15000
22;11;15000;15000;15000
22;12;15000;15000;15000
22;13;15000;15000;15000
22;14;15000;15000;15000
23;1;15000;15000;15000
23;2;15000;15000;15000
23;3;15000;15000;15000
23;4;15000;15000;15000
23;5;15000;15000;15000
23;6;15000;15000;15000
23;7;15000;15000;15000
23;8;15000;15000;15000
23;9;15000;15000;15000
23;10;15000;15000;15000
23;11;15000;15000;15000
23;12;15000;15000;15000
23;13;15000;15000;15000
23;14;15000;15000;15000
24;1;15000;15000;15000
24;2;15000;15000;15000
24;3;15000;15000;15000
24;4;15000;15000;15000
24;5;15000;15000;15000
24;6;15000;15000;15000
24;7;15000;15000;15000
24;8;15000;15000;15000
24;9;15000;15000;15000
24;10;15000;15000;15000
24;11;15000;15000;15000
24;12;15000;15000;15000
24;13;15000;15000;15000
24;14;15000;15000;15000
25;1;15000;15000;15000
25;2;15000;15000;15000
25;3;15000;15000;15000
25;4;15000;15000;15000
25;5;15000;15000;15000
25;6;15000;15000;15000
25;7;15000;15000;15000
25;8;15000;15000;15000
25;9;15000;15000;15000
25;10;15000;15000;15000
25;11;15000;15000;15000
25;12;15000;15000;15000
25;13;15000;15000;15000
25;14;15000;15000;15000
26;1;15000;15000;15000
26;2;15000;15000;15000
26;3;15000;15000;15000
26;4;15000;15000;15000
26;5;15000;15000;15000
26;6;15000;15000;15000
26;7;15000;15000;15000
26;8;15000;15000;15000
26;9;15000;15000;15000
26;10;15000;15000;15000
26;11;15000;15000;15000
26;12;15000;15000;15000
26;13;15000;15000;15000
26;14;15000;15000;15000
27;1;15000;15000;15000
27;2;15000;15000;15000
27;3;15000;15000;15000
27;4;15000;15000;15000
27;5;15000;15000;15000
27;6;15000;15000;15000
27;7;15000;15000;15000
27;8;15000;15000;15000
27;9;15000;15000;15000
27;10;15000;15000;15000
27;11;15000;15000;15000
27;12;15000;15000;15000
27;13;15000;15000;15000
27;14;15000;15000;15000
28;1;15000;15000;15000
28;2;15000;15000;15000
28;3;15000;15000;15000
28;4;15000;15000;15000
28;5;15000;15000;15000
28;6;15000;15000;15000
28;7;15000;15000;15000
28;8;15000;15000;15000
28;9;15000;15000;15000
28;10;15000;15000;15000
28;11;15000;15000;15000
28;12;15000;15000;15000
28;13;15000;15000;15000
28;14;15000;15000;15000
29;1;15000;15000;15000
29;2;15000;15000;15000
29;3;15000;15000;15000
29;4;15000;15000;15000
29;5;15000;15000;15000
29;6;15000;15000;15000
29;7;15000;15000;15000
29;8;15000;15000;15000
29;9;15000;15000;15000
29;10;15000;15000;15000
29;11;15000;15000;15000
29;12;15000;15000;15000
29;13;15000;15000;15000
29;14;15000;15000;15000
30;1;15000;15000;15000
30;2;15000;15000;15000
30;3;15000;15000;15000
30;4;15000;15000;15000
30;5;15000;15000;15000
30;6;15000;15000;15000
30;7;15000;15000;15000
30;8;15000;15000;15000
30;9;15000;15000;15000
30;10;15000;15000;15000
30;11;15000;15000;15000
30;12;15000;15000;15000
30;13;15000;15000;15000
30;14;15000;15000;15000
31;1;15000;15000;15000
31;2;15000;15000;15000
31;3;15000;15000;15000
31;4;15000;15000;15000
31;5;15000;15000;15000
31;6;15000;15000;15000
31;7;15000;15000;15000
31;8;15000;15000;15000
31;9;15000;15000;15000
31;10;15000;15000;15000
31;11;15000;15000;15000
31;12;15000;15000;15000
31;13;15000;15000;15000
31;14;15000;15000;15000
32;1;15000;15000;15000
32;2;15000;15000;15000
32;3;15000;15000;15000
32;4;15000;15000;15000
32;5;15000;15000;15000
32;6;15000;15000;15000
32;7;15000;15000;15000
32;8;15000;15000;15000
32;9;15000;15000;15000
32;10;15000;15000;15000
32;11;15000;15000;15000
32;12;15000;15000;15000
32;13;15000;15000;15000
32;14;15000;15000;15000
33;1;15000;15000;15000
33;2;15000;15000;15000
33;3;15000;15000;15000
33;4;15000;15000;15000
33;5;15000;15000;15000
33;6;15000;15000;15000
33;7;15000;15000;15000
33;8;15000;15000;15000
33;9;15000;15000;15000
33;10;15000;15000;15000
33;11;15000;15000;15000
33;12;15000;15000;15000
33;13;15000;15000;15000
33;14;15000;15000;15000
34;1;15000;15000;15000
34;2;15000;15000;15000
34;3;15000;15000;15000
34;4;15000;15000;15000
34;5;15000;15000;15000
34;6;15000;15000;15000
34;7;15000;15000;15000
34;8;15000;15000;15000
34;9;15000;15000;15000
34;10;15000;15000;15000
34;11;15000;15000;15000
34;12;15000;15000;15000
34;13;15000;15000;15000
34;14;15000;15000;15000
35;1;15000;15000;15000
35;2;15000;15000;15000
35;3;15000;15000;15000
35;4;15000;15000;15000
35;5;15000;15000;15000
35;6;15000;15000;15000
35;7;15000;15000;15000
35;8;15000;15000;15000
35;9;15000;15000;15000
35;10;15000;15000;15000
35;11;15000;15000;15000
35;12;15000;15000;15000
35;13;15000;15000;15000
35;14;15000;15000;15000
36;1;15000;15000;15000
36;2;15000;15000;15000
36;3;15000;15000;15000
36;4;15000;15000;15000
36;5;15000;15000;15000
36;6;15000;15000;15000
36;7;15000;15000;15000
36;8;15000;15000;15000
36;9;15000;15000;15000
36;10;15000;15000;15000
36;11;15000;15000;15000
36;12;15000;15000;15000
36;13;15000;15000;15000
36;14;15000;15000;15000
