j;p;t;TC_bjpt;G_bjpt;F_bjp;W_jp
1;1;1;100000;0.1;0.000015;21
1;1;2;100000;0.1;0.000015;21
1;1;3;100000;0.1;0.000015;21
1;1;4;100000;0.1;0.000015;21
1;1;5;100000;0.1;0.000015;21
1;1;6;100000;0.1;0.000015;21
1;1;7;100000;0.1;0.000015;21
1;1;8;100000;0.1;0.000015;21
1;1;9;100000;0.1;0.000015;21
1;1;10;100000;0.1;0.000015;21
1;1;11;100000;0.1;0.000015;21
1;1;12;100000;0.1;0.000015;21
1;1;13;100000;0.1;0.000015;21
1;1;14;100000;0.1;0.000015;21
1;2;1;100000;0.1;0.000015;87
1;2;2;100000;0.1;0.000015;87
1;2;3;100000;0.1;0.000015;87
1;2;4;100000;0.1;0.000015;87
1;2;5;100000;0.1;0.000015;87
1;2;6;100000;0.1;0.000015;87
1;2;7;100000;0.1;0.000015;87
1;2;8;100000;0.1;0.000015;87
1;2;9;100000;0.1;0.000015;87
1;2;10;100000;0.1;0.000015;87
1;2;11;100000;0.1;0.000015;87
1;2;12;100000;0.1;0.000015;87
1;2;13;100000;0.1;0.000015;87
1;2;14;100000;0.1;0.000015;87
2;1;1;100000;0.1;0.000015;59
2;1;2;100000;0.1;0.000015;59
2;1;3;100000;0.1;0.000015;59
2;1;4;100000;0.1;0.000015;59
2;1;5;100000;0.1;0.000015;59
2;1;6;100000;0.1;0.000015;59
2;1;7;100000;0.1;0.000015;59
2;1;8;100000;0.1;0.000015;59
2;1;9;100000;0.1;0.000015;59
2;1;10;100000;0.1;0.000015;59
2;1;11;100000;0.1;0.000015;59
2;1;12;100000;0.1;0.000015;59
2;1;13;100000;0.1;0.000015;59
2;1;14;100000;0.1;0.000015;59
2;2;1;100000;0.1;0.000015;91
2;2;2;100000;0.1;0.000015;91
2;2;3;100000;0.1;0.000015;91
2;2;4;100000;0.1;0.000015;91
2;2;5;100000;0.1;0.000015;91
2;2;6;100000;0.1;0.000015;91
2;2;7;100000;0.1;0.000015;91
2;2;8;100000;0.1;0.000015;91
2;2;9;100000;0.1;0.000015;91
2;2;10;100000;0.1;0.000015;91
2;2;11;100000;0.1;0.000015;91
2;2;12;100000;0.1;0.000015;91
2;2;13;100000;0.1;0.000015;91
2;2;14;100000;0.1;0.000015;91
3;1;1;100000;0.1;0.000015;59
3;1;2;100000;0.1;0.000015;59
3;1;3;100000;0.1;0.000015;59
3;1;4;100000;0.1;0.000015;59
3;1;5;100000;0.1;0.000015;59
3;1;6;100000;0.1;0.000015;59
3;1;7;100000;0.1;0.000015;59
3;1;8;100000;0.1;0.000015;59
3;1;9;100000;0.1;0.000015;59
3;1;10;100000;0.1;0.000015;59
3;1;11;100000;0.1;0.000015;59
3;1;12;100000;0.1;0.000015;59
3;1;13;100000;0.1;0.000015;59
3;1;14;100000;0.1;0.000015;59
3;2;1;100000;0.1;0.000015;32
3;2;2;100000;0.1;0.000015;32
3;2;3;100000;0.1;0.000015;32
3;2;4;100000;0.1;0.000015;32
3;2;5;100000;0.1;0.000015;32
3;2;6;100000;0.1;0.000015;32
3;2;7;100000;0.1;0.000015;32
3;2;8;100000;0.1;0.000015;32
3;2;9;100000;0.1;0.000015;32
3;2;10;100000;0.1;0.000015;32
3;2;11;100000;0.1;0.000015;32
3;2;12;100000;0.1;0.000015;32
3;2;13;100000;0.1;0.000015;32
3;2;14;100000;0.1;0.000015;32
4;1;1;100000;0.1;0.000015;102
4;1;2;100000;0.1;0.000015;102
4;1;3;100000;0.1;0.000015;102
4;1;4;100000;0.1;0.000015;102
4;1;5;100000;0.1;0.000015;102
4;1;6;100000;0.1;0.000015;102
4;1;7;100000;0.1;0.000015;102
4;1;8;100000;0.1;0.000015;102
4;1;9;100000;0.1;0.000015;102
4;1;10;100000;0.1;0.000015;102
4;1;11;100000;0.1;0.000015;102
4;1;12;100000;0.1;0.000015;102
4;1;13;100000;0.1;0.000015;102
4;1;14;100000;0.1;0.000015;102
4;2;1;100000;0.1;0.000015;71
4;2;2;100000;0.1;0.000015;71
4;2;3;100000;0.1;0.000015;71
4;2;4;100000;0.1;0.000015;71
4;2;5;100000;0.1;0.000015;71
4;2;6;100000;0.1;0.000015;71
4;2;7;100000;0.1;0.000015;71
4;2;8;100000;0.1;0.000015;71
4;2;9;100000;0.1;0.000015;71
4;2;10;100000;0.1;0.000015;71
4;2;11;100000;0.1;0.000015;71
4;2;12;100000;0.1;0.000015;71
4;2;13;100000;0.1;0.000015;71
4;2;14;100000;0.1;0.000015;71
5;1;1;100000;0.1;0.000015;85
5;1;2;100000;0.1;0.000015;85
5;1;3;100000;0.1;0.000015;85
5;1;4;100000;0.1;0.000015;85
5;1;5;100000;0.1;0.000015;85
5;1;6;100000;0.1;0.000015;85
5;1;7;100000;0.1;0.000015;85
5;1;8;100000;0.1;0.000015;85
5;1;9;100000;0.1;0.000015;85
5;1;10;100000;0.1;0.000015;85
5;1;11;100000;0.1;0.000015;85
5;1;12;100000;0.1;0.000015;85
5;1;13;100000;0.1;0.000015;85
5;1;14;100000;0.1;0.000015;85
5;2;1;100000;0.1;0.000015;47
5;2;2;100000;0.1;0.000015;47
5;2;3;100000;0.1;0.000015;47
5;2;4;100000;0.1;0.000015;47
5;2;5;100000;0.1;0.000015;47
5;2;6;100000;0.1;0.000015;47
5;2;7;100000;0.1;0.000015;47
5;2;8;100000;0.1;0.000015;47
5;2;9;100000;0.1;0.000015;47
5;2;10;100000;0.1;0.000015;47
5;2;11;100000;0.1;0.000015;47
5;2;12;100000;0.1;0.000015;47
5;2;13;100000;0.1;0.000015;47
5;2;14;100000;0.1;0.000015;47
6;1;1;100000;0.1;0.000015;102
6;1;2;100000;0.1;0.000015;102
6;1;3;100000;0.1;0.000015;102
6;1;4;100000;0.1;0.000015;102
6;1;5;100000;0.1;0.000015;102
6;1;6;100000;0.1;0.000015;102
6;1;7;100000;0.1;0.000015;102
6;1;8;100000;0.1;0.000015;102
6;1;9;100000;0.1;0.000015;102
6;1;10;100000;0.1;0.000015;102
6;1;11;100000;0.1;0.000015;102
6;1;12;100000;0.1;0.000015;102
6;1;13;100000;0.1;0.000015;102
6;1;14;100000;0.1;0.000015;102
6;2;1;100000;0.1;0.000015;99
6;2;2;100000;0.1;0.000015;99
6;2;3;100000;0.1;0.000015;99
6;2;4;100000;0.1;0.000015;99
6;2;5;100000;0.1;0.000015;99
6;2;6;100000;0.1;0.000015;99
6;2;7;100000;0.1;0.000015;99
6;2;8;100000;0.1;0.000015;99
6;2;9;100000;0.1;0.000015;99
6;2;10;100000;0.1;0.000015;99
6;2;11;100000;0.1;0.000015;99
6;2;12;100000;0.1;0.000015;99
6;2;13;100000;0.1;0.000015;99
6;2;14;100000;0.1;0.000015;99
7;1;1;100000;0.1;0.000015;76
7;1;2;100000;0.1;0.000015;76
7;1;3;100000;0.1;0.000015;76
7;1;4;100000;0.1;0.000015;76
7;1;5;100000;0.1;0.000015;76
7;1;6;100000;0.1;0.000015;76
7;1;7;100000;0.1;0.000015;76
7;1;8;100000;0.1;0.000015;76
7;1;9;100000;0.1;0.000015;76
7;1;10;100000;0.1;0.000015;76
7;1;11;100000;0.1;0.000015;76
7;1;12;100000;0.1;0.000015;76
7;1;13;100000;0.1;0.000015;76
7;1;14;100000;0.1;0.000015;76
7;2;1;100000;0.1;0.000015;32
7;2;2;100000;0.1;0.000015;32
7;2;3;100000;0.1;0.000015;32
7;2;4;100000;0.1;0.000015;32
7;2;5;100000;0.1;0.000015;32
7;2;6;100000;0.1;0.000015;32
7;2;7;100000;0.1;0.000015;32
7;2;8;100000;0.1;0.000015;32
7;2;9;100000;0.1;0.000015;32
7;2;10;100000;0.1;0.000015;32
7;2;11;100000;0.1;0.000015;32
7;2;12;100000;0.1;0.000015;32
7;2;13;100000;0.1;0.000015;32
7;2;14;100000;0.1;0.000015;32
8;1;1;100000;0.1;0.000015;81
8;1;2;100000;0.1;0.000015;81
8;1;3;100000;0.1;0.000015;81
8;1;4;100000;0.1;0.000015;81
8;1;5;100000;0.1;0.000015;81
8;1;6;100000;0.1;0.000015;81
8;1;7;100000;0.1;0.000015;81
8;1;8;100000;0.1;0.000015;81
8;1;9;100000;0.1;0.000015;81
8;1;10;100000;0.1;0.000015;81
8;1;11;100000;0.1;0.000015;81
8;1;12;100000;0.1;0.000015;81
8;1;13;100000;0.1;0.000015;81
8;1;14;100000;0.1;0.000015;81
8;2;1;100000;0.1;0.000015;76
8;2;2;100000;0.1;0.000015;76
8;2;3;100000;0.1;0.000015;76
8;2;4;100000;0.1;0.000015;76
8;2;5;100000;0.1;0.000015;76
8;2;6;100000;0.1;0.000015;76
8;2;7;100000;0.1;0.000015;76
8;2;8;100000;0.1;0.000015;76
8;2;9;100000;0.1;0.000015;76
8;2;10;100000;0.1;0.000015;76
8;2;11;100000;0.1;0.000015;76
8;2;12;100000;0.1;0.000015;76
8;2;13;100000;0.1;0.000015;76
8;2;14;100000;0.1;0.000015;76
9;1;1;100000;0.1;0.000015;127
9;1;2;100000;0.1;0.000015;127
9;1;3;100000;0.1;0.000015;127
9;1;4;100000;0.1;0.000015;127
9;1;5;100000;0.1;0.000015;127
9;1;6;100000;0.1;0.000015;127
9;1;7;100000;0.1;0.000015;127
9;1;8;100000;0.1;0.000015;127
9;1;9;100000;0.1;0.000015;127
9;1;10;100000;0.1;0.000015;127
9;1;11;100000;0.1;0.000015;127
9;1;12;100000;0.1;0.000015;127
