q;u;t;TC_equt;TC_fqut;G_equt;G_fqut;F_equ;F_fqu;W_qu
1;1;1;100000;100000;0.3;0.3;0.001;0.001;300
1;1;2;100000;100000;0.3;0.3;0.001;0.001;300
1;1;3;100000;100000;0.3;0.3;0.001;0.001;300
1;1;4;100000;100000;0.3;0.3;0.001;0.001;300
1;1;5;100000;100000;0.3;0.3;0.001;0.001;300
1;1;6;100000;100000;0.3;0.3;0.001;0.001;300
1;1;7;100000;100000;0.3;0.3;0.001;0.001;300
1;1;8;100000;100000;0.3;0.3;0.001;0.001;300
1;1;9;100000;100000;0.3;0.3;0.001;0.001;300
1;1;10;100000;100000;0.3;0.3;0.001;0.001;300
1;1;11;100000;100000;0.3;0.3;0.001;0.001;300
1;1;12;100000;100000;0.3;0.3;0.001;0.001;300
1;1;13;100000;100000;0.3;0.3;0.001;0.001;300
1;1;14;100000;100000;0.3;0.3;0.001;0.001;300
1;2;1;100000;100000;0.3;0.3;0.001;0.001;416
1;2;2;100000;100000;0.3;0.3;0.001;0.001;416
1;2;3;100000;100000;0.3;0.3;0.001;0.001;416
1;2;4;100000;100000;0.3;0.3;0.001;0.001;416
1;2;5;100000;100000;0.3;0.3;0.001;0.001;416
1;2;6;100000;100000;0.3;0.3;0.001;0.001;416
1;2;7;100000;100000;0.3;0.3;0.001;0.001;416
1;2;8;100000;100000;0.3;0.3;0.001;0.001;416
1;2;9;100000;100000;0.3;0.3;0.001;0.001;416
1;2;10;100000;100000;0.3;0.3;0.001;0.001;416
1;2;11;100000;100000;0.3;0.3;0.001;0.001;416
1;2;12;100000;100000;0.3;0.3;0.001;0.001;416
1;2;13;100000;100000;0.3;0.3;0.001;0.001;416
1;2;14;100000;100000;0.3;0.3;0.001;0.001;416
1;3;1;100000;100000;0.3;0.3;0.001;0.001;574
1;3;2;100000;100000;0.3;0.3;0.001;0.001;574
1;3;3;100000;100000;0.3;0.3;0.001;0.001;574
1;3;4;100000;100000;0.3;0.3;0.001;0.001;574
1;3;5;100000;100000;0.3;0.3;0.001;0.001;574
1;3;6;100000;100000;0.3;0.3;0.001;0.001;574
1;3;7;100000;100000;0.3;0.3;0.001;0.001;574
1;3;8;100000;100000;0.3;0.3;0.001;0.001;574
1;3;9;100000;100000;0.3;0.3;0.001;0.001;574
1;3;10;100000;100000;0.3;0.3;0.001;0.001;574
1;3;11;100000;100000;0.3;0.3;0.001;0.001;574
1;3;12;100000;100000;0.3;0.3;0.001;0.001;574
1;3;13;100000;100000;0.3;0.3;0.001;0.001;574
1;3;14;100000;100000;0.3;0.3;0.001;0.001;574
1;4;1;100000;100000;0.3;0.3;0.001;0.001;174
1;4;2;100000;100000;0.3;0.3;0.001;0.001;174
1;4;3;100000;100000;0.3;0.3;0.001;0.001;174
1;4;4;100000;100000;0.3;0.3;0.001;0.001;174
1;4;5;100000;100000;0.3;0.3;0.001;0.001;174
1;4;6;100000;100000;0.3;0.3;0.001;0.001;174
1;4;7;100000;100000;0.3;0.3;0.001;0.001;174
1;4;8;100000;100000;0.3;0.3;0.001;0.001;174
1;4;9;100000;100000;0.3;0.3;0.001;0.001;174
1;4;10;100000;100000;0.3;0.3;0.001;0.001;174
1;4;11;100000;100000;0.3;0.3;0.001;0.001;174
1;4;12;100000;100000;0.3;0.3;0.001;0.001;174
1;4;13;100000;100000;0.3;0.3;0.001;0.001;174
1;4;14;100000;100000;0.3;0.3;0.001;0.001;174
2;1;1;100000;100000;0.3;0.3;0.001;0.001;601
2;1;2;100000;100000;0.3;0.3;0.001;0.001;601
2;1;3;100000;100000;0.3;0.3;0.001;0.001;601
2;1;4;100000;100000;0.3;0.3;0.001;0.001;601
2;1;5;100000;100000;0.3;0.3;0.001;0.001;601
2;1;6;100000;100000;0.3;0.3;0.001;0.001;601
2;1;7;100000;100000;0.3;0.3;0.001;0.001;601
2;1;8;100000;100000;0.3;0.3;0.001;0.001;601
2;1;9;100000;100000;0.3;0.3;0.001;0.001;601
2;1;10;100000;100000;0.3;0.3;0.001;0.001;601
2;1;11;100000;100000;0.3;0.3;0.001;0.001;601
2;1;12;100000;100000;0.3;0.3;0.001;0.001;601
2;1;13;100000;100000;0.3;0.3;0.001;0.001;601
2;1;14;100000;100000;0.3;0.3;0.001;0.001;601
2;2;1;100000;100000;0.3;0.3;0.001;0.001;246
2;2;2;100000;100000;0.3;0.3;0.001;0.001;246
2;2;3;100000;100000;0.3;0.3;0.001;0.001;246
2;2;4;100000;100000;0.3;0.3;0.001;0.001;246
2;2;5;100000;100000;0.3;0.3;0.001;0.001;246
2;2;6;100000;100000;0.3;0.3;0.001;0.001;246
2;2;7;100000;100000;0.3;0.3;0.001;0.001;246
2;2;8;100000;100000;0.3;0.3;0.001;0.001;246
2;2;9;100000;100000;0.3;0.3;0.001;0.001;246
2;2;10;100000;100000;0.3;0.3;0.001;0.001;246
2;2;11;100000;100000;0.3;0.3;0.001;0.001;246
2;2;12;100000;100000;0.3;0.3;0.001;0.001;246
2;2;13;100000;100000;0.3;0.3;0.001;0.001;246
2;2;14;100000;100000;0.3;0.3;0.001;0.001;246
2;3;1;100000;100000;0.3;0.3;0.001;0.001;317
2;3;2;100000;100000;0.3;0.3;0.001;0.001;317
2;3;3;100000;100000;0.3;0.3;0.001;0.001;317
2;3;4;100000;100000;0.3;0.3;0.001;0.001;317
2;3;5;100000;100000;0.3;0.3;0.001;0.001;317
2;3;6;100000;100000;0.3;0.3;0.001;0.001;317
2;3;7;100000;100000;0.3;0.3;0.001;0.001;317
2;3;8;100000;100000;0.3;0.3;0.001;0.001;317
2;3;9;100000;100000;0.3;0.3;0.001;0.001;317
2;3;10;100000;100000;0.3;0.3;0.001;0.001;317
2;3;11;100000;100000;0.3;0.3;0.001;0.001;317
2;3;12;100000;100000;0.3;0.3;0.001;0.001;317
2;3;13;100000;100000;0.3;0.3;0.001;0.001;317
2;3;14;100000;100000;0.3;0.3;0.001;0.001;317
2;4;1;100000;100000;0.3;0.3;0.001;0.001;519
2;4;2;100000;100000;0.3;0.3;0.001;0.001;519
2;4;3;100000;100000;0.3;0.3;0.001;0.001;519
2;4;4;100000;100000;0.3;0.3;0.001;0.001;519
