q;t;Cap_eqt;Cap_fqt;H_eqt;H_fqt;PC_eqt;PC_fqt;PW_cqt
1;1;100000;100000;3;2;1.5;1.5;1.5
1;2;100000;100000;3;2;1.5;1.5;1.5
1;3;100000;100000;3;2;1.5;1.5;1.5
1;4;100000;100000;3;2;1.5;1.5;1.5
1;5;100000;100000;3;2;1.5;1.5;1.5
1;6;100000;100000;3;2;1.5;1.5;1.5
1;7;100000;100000;3;2;1.5;1.5;1.5
1;8;100000;100000;3;2;1.5;1.5;1.5
1;9;100000;100000;3;2;1.5;1.5;1.5
1;10;100000;100000;3;2;1.5;1.5;1.5
1;11;100000;100000;3;2;1.5;1.5;1.5
1;12;100000;100000;3;2;1.5;1.5;1.5
1;13;100000;100000;3;2;1.5;1.5;1.5
1;14;100000;100000;3;2;1.5;1.5;1.5
2;1;100000;100000;3;2;1.5;1.5;1.5
2;2;100000;100000;3;2;1.5;1.5;1.5
2;3;100000;100000;3;2;1.5;1.5;1.5
2;4;100000;100000;3;2;1.5;1.5;1.5
2;5;100000;100000;3;2;1.5;1.5;1.5
2;6;100000;100000;3;2;1.5;1.5;1.5
2;7;100000;100000;3;2;1.5;1.5;1.5
2;8;100000;100000;3;2;1.5;1.5;1.5
2;9;100000;100000;3;2;1.5;1.5;1.5
2;10;100000;100000;3;2;1.5;1.5;1.5
2;11;100000;100000;3;2;1.5;1.5;1.5
2;12;100000;100000;3;2;1.5;1.5;1.5
2;13;100000;100000;3;2;1.5;1.5;1.5
2;14;100000;100000;3;2;1.5;1.5;1.5
