i;t;AC_ait
1;1;1000000000
1;2;1000000000
1;3;1000000000
1;4;1000000000
1;5;1000000000
1;6;1000000000
1;7;1000000000
1;8;1000000000
1;9;1000000000
1;10;1000000000
1;11;1000000000
1;12;1000000000
1;13;1000000000
1;14;1000000000
2;1;1000000000
2;2;1000000000
2;3;1000000000
2;4;1000000000
2;5;1000000000
2;6;1000000000
2;7;1000000000
2;8;1000000000
2;9;1000000000
2;10;1000000000
2;11;1000000000
2;12;1000000000
2;13;1000000000
2;14;1000000000
3;1;1000000000
3;2;1000000000
3;3;1000000000
3;4;1000000000
3;5;1000000000
3;6;1000000000
3;7;1000000000
3;8;1000000000
3;9;1000000000
3;10;1000000000
3;11;1000000000
3;12;1000000000
3;13;1000000000
3;14;1000000000
4;1;1000000000
4;2;1000000000
4;3;1000000000
4;4;1000000000
4;5;1000000000
4;6;1000000000
4;7;1000000000
4;8;1000000000
4;9;1000000000
4;10;1000000000
4;11;1000000000
4;12;1000000000
4;13;1000000000
4;14;1000000000
5;1;1000000000
5;2;1000000000
5;3;1000000000
5;4;1000000000
5;5;1000000000
5;6;1000000000
5;7;1000000000
5;8;1000000000
5;9;1000000000
5;10;1000000000
5;11;1000000000
5;12;1000000000
5;13;1000000000
5;14;1000000000
6;1;1000000000
6;2;1000000000
6;3;1000000000
6;4;1000000000
6;5;1000000000
6;6;1000000000
6;7;1000000000
6;8;1000000000
6;9;1000000000
6;10;1000000000
6;11;1000000000
6;12;1000000000
6;13;1000000000
6;14;1000000000
7;1;1000000000
7;2;1000000000
7;3;1000000000
7;4;1000000000
7;5;1000000000
7;6;1000000000
7;7;1000000000
7;8;1000000000
7;9;1000000000
7;10;1000000000
7;11;1000000000
7;12;1000000000
7;13;1000000000
7;14;1000000000
8;1;1000000000
8;2;1000000000
8;3;1000000000
8;4;1000000000
8;5;1000000000
8;6;1000000000
8;7;1000000000
8;8;1000000000
8;9;1000000000
8;10;1000000000
8;11;1000000000
8;12;1000000000
8;13;1000000000
8;14;1000000000
9;1;1000000000
9;2;1000000000
9;3;1000000000
9;4;1000000000
9;5;1000000000
9;6;1000000000
9;7;1000000000
9;8;1000000000
9;9;1000000000
9;10;1000000000
9;11;1000000000
9;12;1000000000
9;13;1000000000
9;14;1000000000
10;1;1000000000
10;2;1000000000
10;3;1000000000
10;4;1000000000
10;5;1000000000
10;6;1000000000
10;7;1000000000
10;8;1000000000
10;9;1000000000
10;10;1000000000
10;11;1000000000
10;12;1000000000
10;13;1000000000
10;14;1000000000
